id,year,date,survey_area,v1_sex,v2_gen,v3_residence,v3_residence_hokkaido,v3_residence_not_hokkaido,v4_fishing_experience_years,v5_fishing_days_this_season,v7_no_spot_reservation,v7_no_littering,v7_no_entry_restricted_area,v7_no_fishing_in_restricted_area,v7_no_dune_destruction,v7_no_tent,v8_max_rods_three,v8_max_catch_three,v8_discourage_illegal_parking,v8_discourage_bonfire,v8_discourage_release,v8_discourage_camping,v8_discourage_miniboat_use,v8_use_designated_toilets,v8_dont_know,v9_info_friends_word_of_mouth,v9_info_tv_newspaper,v9_info_fishing_magazine,v9_info_abashiri_city,v9_info_web_blog,v9_info_personal_sns,v10_formulation_procedure,v11_improve_transparency_process,v11_reflect_fishers_opinions,v11_improve_opportunity_for_input,v11_no_need_for_rule_making,v12_fisher_burden,v14_license_system,v14_license_system2,v19_angling_perspective,v20_max_rods_three_social_perspective,v20_max_catch_three_social_perspective,v20_no_spot_reservation_social_perspective,v20_no_tent_social_perspective,v20_discourage_illegal_parking_social_perspective,v20_use_designated_toilets_social_perspective,v20_max_rods_three_liberty_perspective,v20_max_catch_three_liberty_perspective,v20_no_spot_reservation_liberty_perspective,v20_no_tent_liberty_perspective,v20_discourage_illegal_parking_liberty_perspective,v20_use_designated_toilets_libertyl_perspective,free_text_response
2,2024,10月17日,北浜,男性,80代以上,網走市内,,,20年以上,10日以上30日未満,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,0,知っていて、納得している,0,0,0,0,知っている,どちらかといえば反対,反対,-2,10,10,10,10,10,10,10,10,1,1,10,10,みんなが声をかけあいゴミを捨てる(捨てるべき場所に)
3,2024,10月17日,北浜,男性,60代,道内,恵庭,,20年以上,5日未満,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,知っていて、納得している,0,0,0,0,知っている,どちらかといえば賛成,わからない,2,6,5,10,10,10,10,5,6,10,10,10,10,罰金制度が必要だと思う
4,2024,10月17日,北浜,女性,40代,網走市内,,,5年未満,10日以上30日未満,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,0,知っていて、納得している,0,0,0,0,知っている,賛成,賛成,2,5,1,10,7,10,3,1,6,1,3,1,3,"トイレテントはokにしてほしい。
魚は3本じゃなく5本までがうれしい"
5,2024,10月17日,北浜,男性,70代,網走市内,,,20年以上,30日以上50日未満,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,0,知っているが、納得していない,0,0,0,0,知っている,賛成,反対,-4,1,10,10,10,10,10,1,1,1,10,1,1,トイレ(女性)ができるような場所を求める
6,2024,10月17日,北浜,男性,80代以上,道内,旭川,,20年以上,5日以上10日未満,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,0,知っていて、納得している,0,0,0,0,知らない,反対,反対,4,10,4,10,10,10,10,10,10,10,10,10,10,トイレ設置して欲しい
9,2024,10月17日,北浜,男性,80代以上,道内,北見,,20年以上,30日以上50日未満,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,知っているが、納得していない,1,1,1,1,少し知っている,どちらかといえば反対,わからない,-4,1,1,1,1,1,1,1,1,1,1,1,1,
10,2024,10月17日,北浜,男性,60代,道内,芦別,,5年以上10年未満,5日以上10日未満,1,1,1,1,0,1,1,1,1,1,0,1,1,1,0,1,0,0,0,0,0,知っているが、納得していない,1,1,0,0,知っている,反対,反対,-1,5,5,10,10,10,10,10,10,10,10,10,10,
11,2024,10月17日,北浜,男性,70代,道内,苫小牧,,20年以上,5日未満,1,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,知っているが、納得していない,0,1,0,0,少し知っている,反対,反対,-3,2,10,9,7,7,5,9,10,3,10,9,5,
12,2024,10月18日,鱒浦,男性,70代,網走市内,,,20年以上,10日以上30日未満,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,1,1,0,0,0,0,知っていて、納得している,0,0,0,0,知っている,反対,NA,NA,8,7,10,10,8,10,1,7,1,1,1,1,
13,2024,10月18日,鱒浦,男性,70代,道内,北見,,20年以上,5日未満,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,知らないが、納得している,0,0,0,0,NA,賛成,NA,NA,5,5,10,5,4,5,10,10,10,10,7,,
