

| 変数名                                             | 概要                                                         | 2024・2025共通 | 2024のみ | 2025のみ |
| -------------------------------------------------- | ------------------------------------------------------------ | -------------- | -------- | -------- |
| id                                                 |                                                              |                |          |          |
| year                                               |                                                              | 1              |          |          |
| date                                               |                                                              | 1              |          |          |
| v1_sex                                             |                                                              | 1              |          |          |
| v2_gen                                             | 年齢                                                         | 1              |          |          |
| v3_residence                                       | 居住地は道内か道外か                                         | 1              |          |          |
| v3_residence_hokkaido                              | 道内居住の場合の市町村名                                     | 1              |          |          |
| v3_residence_not_hokkaido                          | 道外居住の場合の市町村名                                     | 1              |          |          |
| v4_fishing_experience_years                        | 釣り歴                                                       | 1              |          |          |
| v5_fishing_days_this_season                        | 今シーズン網走海浜でサケマス釣りした日数                     | 1              |          |          |
| v6_fishing_days_last_season                        | 昨シーズン網走海浜でサケマス釣りした日数                     |                |          | 1        |
| v7_no_spot_reservation                             | 知っているルール（禁止事項）：場所取り禁止                   | 1              |          |          |
| v7_no_no_littering                                 | 知っているルール（禁止事項）：ゴミ、残滓の投棄禁止           | 1              |          |          |
| v7_no_entry_restricted_area                        | 知っているルール（禁止事項）：指定区域、期間の立ち入り禁止   | 1              |          |          |
| v7_no_fishing_in_restricted_area                   | 知っているルール（禁止事項）：指定区域、期間のサケマス採捕禁止 | 1              |          |          |
| v7_no_dune_destruction                             | 知っているルール（禁止事項）：砂丘の破壊禁止                 | 1              |          |          |
| v7_no_tent                                         | 知っているルール（禁止事項）：テント常設禁止                 | 1              |          |          |
| v8_max_rods_three                                  | 知っているルール（守る事項）：竿は3本まで                    | 1              |          |          |
| v8_max_catch_three                                 | 知っているルール（守る事項）：尾数は3尾まで                  | 1              |          |          |
| v8_discourage_illegal_parking                      | 知っているルール（守る事項）：迷惑駐車やめよう               | 1              |          |          |
| v8_discourage_bonfire                              | 知っているルール（守る事項）：直火での焚き火やめよう         | 1              |          |          |
| v8_discourage_release                              | 知っているルール（守る事項）：リリースやめよう               | 1              |          |          |
| v8_discourage_camping                              | 知っているルール（守る事項）：キャンプ的行為はキャンプ場で   | 1              |          |          |
| v8_discourage_miniboat_use                         | 知っているルール（守る事項）：海でのミニボートはやめよう     | 1              |          |          |
| v8_use_designated_toilets                          | 知っているルール（守る事項）：トイレは決められた場所で       | 1              |          |          |
| v8_dont_know                                       | 知っているルール（守る事項）：知らなかった                   |                | 1        |          |
| v9_info_friends_word_of_mouth                      | ルールの情報源：釣り仲間の口コミ                             |                |          |          |
| v9_info_tv_newspaper                               | ルールの情報源：テレビや新聞                                 |                |          |          |
| v9_info_fishing_magazine                           | ルールの情報源：釣り雑誌                                     |                |          |          |
| v9_info_web_blog                                   | ルールの情報源：ブログなどのWeb記事                          |                |          |          |
| v9_info_personal_sns                               | ルールの情報源：個人のSNS                                    |                |          |          |
| v9_checked_last_year_only                          | ルールの情報源：昨年確認したので今は確認していない           |                |          | 1        |
| v9_never_checked                                   | ルールの情報源：今まで確認したことがない                     |                |          | 1        |
| v9_info_abashiri_city_website                      | ルールの情報源：網走市のホームページ                         |                |          | 1        |
| v9_info_abashiri_city_sns                          | ルールの情報源：網走市のSNS                                  |                |          | 1        |
| v9_info_beach_signboard                            | ルールの情報源：浜辺の看板                                   |                |          | 1        |
| v9_info_abashiri_city                              | ルールの情報源：網走市のお知らせ                             |                | 1        |          |
| v9_other                                           | ルールの情報源：その他                                       |                |          | 1        |
| v10_formulation_procedure                          | ルール策定手順を知っているか、納得しているか                 | 1              |          |          |
| v11_improve_transparency_process                   | ルール策定手順改善方法：策定の流れを十分に公開する           | 1              |          |          |
| v11_reflect_fishers_opinions                       | ルール策定手順改善方法：ルールに釣り人の意見を十分に反映させる | 1              |          |          |
